candidate,reference,omitted_period,delta_rmse,delta_mae
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-10,0.002043044307362185,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-11,0.0020426766056831913,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-12,0.002041805814574249,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-01,0.0020632588104869676,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-02,0.0020413954432323966,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-03,0.002046308183604739,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-04,0.002041511398646334,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-05,0.002047763699601024,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-06,0.0020566274756581016,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-07,0.002041706723060477,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-08,0.0020412633785269474,0.0022565640998934433
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-09,0.002043429478787717,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-10,0.002041603269324066,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-11,0.0020413305047341512,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2020-12,0.002049370196932021,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-01,0.0020546557434839574,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-02,0.0020430323023212793,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-03,0.0020415658658507474,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-04,0.0020439579074734704,0.0022565640998934433
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-05,0.002045452424781269,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-06,0.0020440230582585706,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-07,0.0020483726609957786,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-08,0.002059445441470409,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-09,0.0020523453404042713,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-10,0.0020422652281765763,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-11,0.0020564338372303648,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2021-12,0.002042355574318977,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2022-01,0.002042410667954464,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2022-02,0.002057691045486587,0.002256564099893499
